timeframe,signal_date,ticker,rank,regime,regime_score,quality_score,rs_percentile,rs_excess,rsi,vol_ratio,vol_z,atr_pct,setup,signal_close,entry_trigger,planned_stop,planned_target,planned_rr,turnover20,triggered,outcome,entry_date,entry_price,exit_date,exit_price,hold_sessions,gross_r,net_r,resolved_date,setup_base,score_bucket,rs_bucket
1hari,2025-07-31,MTDL.JK,3,BULLISH,5,80.0,60.27554535017221,-0.004885977018835197,68.34771164297462,1.888128559445499,1.7919829600796315,0.02922994241776946,Breakout Confirmed,565.25,570.0,545.0,620.0,2.0,3297731200.0,True,TIME_EXIT,2025-08-01,570.0,2025-08-29,560.5,20.0,-0.38,-0.4702500000000009,2025-08-29,Breakout,80-84,60-69
1hari,2025-08-01,TKIM.JK,1,BULLISH,5,90.0,72.44546498277842,0.0885217750976579,64.79464616016888,2.0778475457430288,1.2553394795141017,0.039659398741034795,Bullish Pullback/Reclaim,6264.83740234375,6275.0,5900.0,7025.0,2.0,6051304613.256836,True,TARGET,2025-08-04,6275.0,2025-08-08,7025.0,5.0,2.0,1.9280666666666657,2025-08-08,Pullback,85+,70-79
1hari,2025-08-01,BSML.JK,2,BULLISH,5,75.0,86.68197474167624,0.3155730334378075,70.84187541252486,1.1360267145759957,0.5963537102770802,0.042508085303456795,Bullish Engulfing,106.0,106.0,99.0,120.0,2.0,3740692200.0,True,STOP,2025-08-04,106.0,2025-08-07,99.0,4.0,-1.0,-1.0580714285714277,2025-08-07,Other,75-79,80-89
1hari,2025-08-01,MDKA.JK,3,BULLISH,5,75.0,85.99311136624569,0.30755921477835746,57.68645448191828,0.7732655164508313,-0.2957970908838239,0.05432112099972209,Bullish Pullback/Reclaim,2438.150146484375,2440.0,2240.0,2840.0,2.0,114701884209.46045,True,STOP,2025-08-04,2468.0050483315677,2025-08-12,2240.0,7.0,-1.0,-1.0407973754992061,2025-08-12,Pullback,75-79,80-89
1hari,2025-08-04,INCO.JK,1,BULLISH,5,90.0,89.09299655568313,0.43372433084011797,59.45916210238333,1.4311323121274504,0.9817176666869252,0.03922368970093484,Bullish Pullback/Reclaim,3705.4541015625,3710.0,3490.0,4150.0,2.0,30886602122.48535,True,STOP,2025-08-05,3715.283095941311,2025-09-01,3490.0,19.0,-1.0,-1.0634664779626297,2025-09-01,Pullback,85+,80-89
1hari,2025-08-04,ARCI.JK,2,BULLISH,5,75.0,96.90011481056257,1.2139445550699843,67.37111029507496,0.29435891953642856,0.34779245678201415,0.0532355624723143,Marubozu Bullish,736.28125,740.0,680.0,860.0,2.0,15107241392.953491,True,STOP,2025-08-06,740.0,2025-08-11,680.0,4.0,-1.0,-1.0468333333333324,2025-08-11,Other,75-79,90+
1hari,2025-08-05,SSIA.JK,2,BULLISH,5,75.0,98.85321100917432,2.070550578000549,62.418318878423,1.015656548910293,0.32057217188734566,0.06801972467676284,Bullish Pullback/Reclaim,2631.111083984375,2640.0,2370.0,3180.0,2.0,215425486181.28052,True,STOP,2025-08-06,2661.010160945012,2025-08-15,2370.0,8.0,-1.0,-1.034076182114106,2025-08-15,Pullback,75-79,90+
1hari,2025-08-05,ASSA.JK,3,BULLISH,5,75.0,83.4862385321101,0.25941165621568274,58.501628557985974,0.7089737926344236,-0.10651271558501305,0.04965024417179685,Bullish Pullback/Reclaim,814.2778930664062,815.0,750.0,945.0,2.0,8130921269.5373535,True,TARGET,2025-08-06,815.0,2025-08-25,945.0,13.0,2.0,1.9448461538461532,2025-08-25,Pullback,75-79,80-89
1hari,2025-08-06,PGAS.JK,1,BULLISH,5,100.0,64.56422018348624,0.04933677379248835,64.76187272335704,2.519012968771789,2.1891788444617535,0.020785058579735498,Breakout Confirmed,1566.5833740234375,1570.0,1520.0,1670.0,2.0,34936359347.29004,True,TIME_EXIT,2025-08-07,1570.0,2025-09-04,1640.7410888671875,20.0,1.41482177734375,1.2856847229003916,2025-09-04,Breakout,85+,60-69
1hari,2025-08-06,NRCA.JK,3,BULLISH,5,75.0,98.5091743119266,1.881324755944313,70.41103327528165,0.6914208077266936,0.7548715731523968,0.05296278715561111,Marubozu Bullish,892.0213012695312,895.0,820.0,1045.0,2.0,1925270268.2540894,True,STOP,2025-08-08,895.0,2025-08-11,820.0,2.0,-1.0,-1.045233333333334,2025-08-11,Other,75-79,90+
